Particle_ID,X_Coord,Y_Coord,Z_Coord
84,2.94765e+04,2.90764e+04,1.53596e+02
85,2.94765e+04,2.90843e+04,1.63432e+02
86,2.94765e+04,2.90823e+04,1.39129e+02
87,2.94765e+04,2.90785e+04,1.14895e+02
88,2.94765e+04,2.90871e+04,1.14230e+02
89,2.94765e+04,2.90765e+04,1.20163e+02
90,2.94765e+04,2.93472e+04,4.16416e+02
91,2.94765e+04,2.93463e+04,4.53904e+02
92,2.94765e+04,2.93766e+04,4.36650e+02
93,2.94765e+04,2.93446e+04,7.15072e+02
94,2.94765e+04,2.93445e+04,7.52601e+02
95,2.94765e+04,2.93749e+04,7.35116e+02
96,2.96329e+04,2.92724e+04,1.63673e+01
97,2.94765e+04,2.92846e+04,2.40225e+01
98,2.94765e+04,2.92913e+04,2.67670e+01
99,2.94765e+04,2.93120e+04,2.84480e+01
100,2.94765e+04,2.93208e+04,2.64809e+01
101,2.94765e+04,2.93023e+04,2.70604e+01
102,2.94765e+04,2.93481e+04,3.40812e+02
103,2.94765e+04,2.93479e+04,3.78481e+02
104,2.94765e+04,2.93775e+04,3.61701e+02
105,2.94765e+04,2.92779e+04,3.21785e+01
106,2.97294e+04,2.92581e+04,2.13812e+01
